Name,Price,CPU,Type_CPU,RAM,Graphic,Weight,Score_star,Vote,Brand,SSD
Laptop Asus X409FA-EK201T,13590000,Core i5,8265U,4 GB,Intel UHD Graphics 620,1.5 kg,0.0,0,Asus,1
Laptop MSI GF63 9RCX-645VN I7/8/512/4G/VX,23190000,Intel Core i7,9750H,8 GB,Nvidia GTX 1050Ti + UHD 630,2.3 kg,0.0,0,MSI,1
Laptop Asus S531FA-BQ154T,18590000,Core i5,8265U,8 GB,Intel UHD Graphics 620,1.75 kg,0.0,0,Asus,1
Laptop Dell Inspiron N3593 (P75F013N93A),12590000,Intel Core i3,1005G1,4 GB,,,0.0,0,Dell,0
LAPTOP HP PROBOOK 440 G6 (5YM63PA),12990000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 620,1.6 kg,0.0,0,HP,0
LAPTOP HP PROBOOK 440 G6 (6FG86PA),22990000,Intel Core i7,8565U,8 GB,Intel UHD Graphics 620,1.6 kg,0.0,0,HP,1
MACBOOK AIR 13.3 INCH 2019 128GB SPACE GRAY (MVFH2SA/A),27990000,Intel Core i5,Dual‑core 8th‑gen,8 GB,Intel UHD Graphics 617,1.25 kg,0.0,0,MACBOOK,1
LAPTOP DELL LATITUDE 5490 (70156591),21990000,Intel Core i5,8350U,8 GB,Intel UHD Graphics 620,1.8 kg,0.0,0,DELL,1
Laptop Acer Swift 3 SF314-41-R8VS R5 (NX.HFDSV.002),14490000,AMD Ryzen™ 5,3500U,4 GB,Vega 8,1.5 kg,0.0,0,Acer,1
LAPTOP HP 15S-DU0041TX (6ZF66PA),17990000,Intel Core i7,8565U,8 GB,NVIDIA GeForce MX130,1.74 kg,0.0,0,HP,0
LAPTOP DELL V5481 (P92G001V81A),19590000,Intel Core i5,8265U,4 GB,NVIDIA GeForce MX130,1.55 kg,0.0,0,DELL,0
LAPTOP ASUS S530FA-BQ185T,13690000,Intel Core i3,8145U,4 GB,,1.78 kg,0.0,0,ASUS,0
Laptop Asus P1440FA-FA0420T,11590000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 620,1.6 kg,0.0,0,Asus,1
LAPTOP ACER ASPIRE A315-325E (NX.GNPSV.037),8899000,Intel Core i3,7200U,4 GB,Intel HD Graphics 620,1.91 kg,0.0,0,ACER,0
MACBOOK PRO 13.3 2019 256GB TOUCH BAR GREY (MV962SA/A),44490000,Intel Core i5,Quad-core,8 GB,Intel Iris Plus Graphics 655,1.37 kg,0.0,0,MACBOOK,1
LAPTOP DELL INSPIRON 5584 - N5I5413W-BẠC,19990000,Intel Core i5,8265U,8 GB,NVIDIA GeForce MX130,1.95 kg,0.0,0,DELL,1
LAPTOP ASUS VIVOBOOK S15 S530UN-BQ198T,21090000,Intel Core i7,8550U,8 GB,NVIDIA GeForce MX150,1.79 kg,1.0,1,ASUS,0
LAPTOP ASUS VIVOBOOK A512FA-EJ571T,12390000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 620,1.7 kg,0.0,0,ASUS,1
Laptop Asus UM462DA- AI091T,19990000,AMD Ryzen™ 5,3500U,8 GB,Radeon™ Vega 8 Graphics,1.6 kg,0.0,0,Asus,1
LAPTOP ASUS VIVOBOOK A512FA-EJ571T,12390000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 620,1.7 kg,0.0,0,ASUS,1
Laptop Asus UM462DA- AI091T,19990000,AMD Ryzen™ 5,3500U,8 GB,Radeon™ Vega 8 Graphics,1.6 kg,0.0,0,Asus,1
Laptop Asus S430FA-EB459T,13490000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 620,1.54 kg,0.0,0,Asus,1
LAPTOP ASUS FX505D-AL003T,22490000,AMD Ryzen™ 7,3750H,8 GB,Intel UHD Graphics 620,2.2 kg,0.0,0,ASUS,1
MACBOOK AIR 13.3 INCH 2019 128GB GOLD (MVFM2SA/A),27990000,Intel Core i5,Dual‑core 8th‑gen,8 GB,Intel UHD Graphics 617,1.25 kg,0.0,0,MACBOOK,1
LAPTOP ACER SWIFT 3 SF315-52-52Z7- NX.GZBSV.004,15190000,Intel Core i5,8250U,4 GB,Intel HD Graphics 620,1.6 kg,0.0,0,ACER,0
Laptop Dell Inspiron 15 5000 5593 N5I5513W,19990000,Core i5,1035G1,8 GB,NVIDIA,,0.0,0,Dell,1
LAPTOP ACER ASPIRE 7 A715-72G-50NA (NH.GXBSV.001),16990000,Intel Core i5,8300H,8 GB,NVIDIA GeForce® GTX 1050,2.4 kg,0.0,0,ACER,0
LAPTOP ACER SWIFT SF114-32-P2SG NX.GZISV.001,9990000,Intel Pentium,N5000,4 GB,Intel UHD Graphics 605,1.4 kg,0.0,0,ACER,0
LAPTOP ACER ASPIRE A515-53-3153,11690000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 605,2.0 kg,0.0,0,ACER,0
LAPTOP LENOVO L340-15IRH (81LK007JVN),19990000,Intel Core i7,9750H,8 GB,GTX 1050,2.2 kg,0.0,0,LENOVO,0
LAPTOP LENOVO THINKPAD E490S 20NGS01N00,21490000,Intel Core i7,8565U,8 GB,Intel HD Graphics 620,2.82 kg,0.0,0,LENOVO,1
LAPTOP ACER ASPIRE A515-53-30QH (NX.H6BSV.003),11190000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 620,2.072 kg,0.0,0,ACER,0
LAPTOP LENOVO THINKPAD L390 20NRS00100,19790000,Intel Core i5,8265U,4 GB,Intel HD Graphics 620,1.46 kg,0.0,0,LENOVO,1
Laptop Asus A412F-EK223T,11990000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 620,,0.0,0,Asus,1
MACBOOK PRO 13.3 2019 256GB TOUCH BAR SILVER (MV992SA/A),44490000,Intel Core i5,Quad-core,8 GB,Intel Iris Plus Graphics 655,1.37 kg,0.0,0,MACBOOK,1
LAPTOP ASUS A510UA-EJ1217T,10590000,Intel Core i3,8130U,4 GB,Intel UHD Graphics 620,1.78 kg,0.0,0,ASUS,0
Laptop Asus S330FN (EY037T),19990000,Intel Core i5,8265U,8 GB,NVIDIA GeForce MX150,1.2 kg,0.0,0,Asus,1
LAPTOP ASUS S510UA-BQ1249T,14990000,Intel Core i5,8250U,4 GB,Intel UHD Graphics,1.78 kg,0.0,0,ASUS,0
LAPTOP ASUS X509FJ- EJ053T,13890000,Intel Core i5,8265U,4 GB,NVIDIA GeForce MX230,1.8 kg,0.0,0,ASUS,0
LAPTOP DELL INSPIRON 15 5570 (M5I5238),16490000,Intel Core i5,8250U,4 GB,AMD Radeon 530 2GB GDDR5,2.3 kg,0.0,0,DELL,0
LAPTOP ASUS VIVO BOOK S530UA-BQ278T,15690000,Intel Core i5,8250U,4 GB,Intel® UHD Graphics 620,1.44 kg,0.0,0,ASUS,0
LAPTOP DELL INSPIRON 3580 (70188451),21390000,Intel Core i7,8565U,8 GB,AMD Radeon 520,2.19 kg,0.0,0,DELL,0
LAPTOP DELL INSPIRON 14 3476 70181694,17990000,Intel Core i7,8550U,8 GB,AMD Radeon 520,1.95 kg,0.0,0,DELL,0
LAPTOP ASUS VIVOBOOK S530UA - BQ177T,13290000,Intel Core i3,8130U,4 GB,Intel UHD Graphics 620,1.6 kg,0.0,0,ASUS,1
Macbook Pro 13 Touch Bar 512GB 2018 (MR9R2SA/A),48990000,Core i5,Quad-core,8 GB,Intel Iris Plus Graphics 655,1.37 kg,0.0,0,Macbook,1
MÁY TÍNH XÁCH TAY ASUS S510UA - BQ222T,12490000,Intel Core i3,8130U,4 GB,Intel HD Graphics 620,1.7 kg,0.0,0,MÁY,1
Laptop Acer A515-54-54EU (NX.HN3SV.002),15690000,Intel Core i5,10210U,8 GB,Intel UHD Graphics 620,1.7 kg,0.0,0,Acer,1
LAPTOP LENOVO L340-15IRH (81LK007HVN),16990000,Intel Core i5,9300H,8 GB,GTX 1050,2.2 kg,0.0,0,LENOVO,0
LAPTOP ACER SWIFT 3 SF314-54-58KB NX.GXZSV.002,17199000,Intel Core i5,8250U,4 GB,Intel UHD Graphics,1.5 kg,0.0,0,ACER,1
LAPTOP LENOVO THINKPAD E490S 20NGS01K00,18890000,Intel Core i5,8265U,8 GB,Intel HD Graphics 620,2.82 kg,0.0,0,LENOVO,1
Laptop Acer Swift 3 SF314-56-38UE,14199000,Intel Core i3,8145U,4 GB,Intel UHD Graphics 620,1.5 kg,0.0,0,Acer,1
MACBOOK PRO 13 INCH 128GB 2017 (MPXQ2SA/A),32490000,Intel Core i5,Dual Core,8 GB,Intel Iris Plus Graphics 640,1.37 kg,0.0,0,MACBOOK,1
LAPTOP DELL INSPIRON 3580 (70188451),21390000,Intel Core i7,8565U,8 GB,AMD Radeon 520,2.19 kg,0.0,0,DELL,0
LAPTOP ASUS S530UA-BQ145T,12690000,Intel Core i3,8130U,4 GB,Intel UHD Graphics 620,1.8 kg,0.0,0,ASUS,0
Laptop HP Pavilion 15-CS3010TU (8QN78PA),13490000,Intel Core i3,1005G1,,Intel UHD Graphics,"1,693 kg",0.0,0,HP,0
Laptop Asus S530UA BQ034T,12690000,Intel Core i3,8130U,4 GB,Intel UHD Graphics 620,1.6 kg,0.0,0,Asus,0
LAPTOP ACER NITRO 5 AN515-52-51GF NH.Q3MSV.001,19000000,Intel Core i5,8300H,8 GB,NVIDIA GeForce GTX 1050,2.45 kg,0.0,0,ACER,0
LAPTOP LENOVO THINKPAD L390 20NRS00500,25390000,Intel Core i7,8565U,8 GB,Intel HD Graphics 620,1.46 kg,0.0,0,LENOVO,1
LAPTOP LENOVO LEGION Y530-15ICH (81FV00STVN),21990000,Intel Core i5,8300H,8 GB,Nividia GTX 1050,2.3 kg,0.0,0,LENOVO,1
LAPTOP DELL VOSTRO 13 5370 (7M6D51),19590000,Intel Core i5,8250U,4 GB,Intel UHD Graphics 620,1.4 kg,0.0,0,DELL,1
Laptop Asus G531GD (AL025T),20990000,Intel Core i5,9300H,8 GB,NVIDIA GeForce GTX 1050,2.395 kg,0.0,0,Asus,1
LAPTOP DELL INSPIRON 5584 - N5I5384W-BẠC,16590000,Intel Core i5,8265U,4 GB,NVIDIA GeForce MX130,1.95 kg,0.0,0,DELL,0
LAPTOP ASUS FX505GE-BQ052T,21490000,Intel Core i5,8300H,8 GB,NVIDIA GeForce GTX 1050Ti,2.2 kg,0.0,0,ASUS,0
Laptop Dell Latitude 3400 (70188730),14190000,Intel Core i3,8145U,8 GB,,,0.0,0,Dell,1
LAPTOP ASUS VIVOBOOK S410UN-EB210T,16490000,Intel Core i5,8250U,4 GB,NVIDIA GeForce MX150,1.4 kg,0.0,0,ASUS,0
LAPTOP LENOVO IDEAPAD S145 15IWL 81MV00F3V,7690000,Intel Pentium Gold,5405U,4 GB,Intel HD Graphics 610,1.6 kg,0.0,0,LENOVO,0
LAPTOP DELL INSPIRON 3480 (N4I5107W) ĐEN,13590000,Intel Core i5,8265U,4 GB,Intel HD Graphics 620,1.66 kg,0.0,0,DELL,0
Laptop Dell Inspiron 7591-N5I5591W,25290000,Core i5,9300H,8 GB,VGA NVIDIA,,0.0,0,Dell,1
MACBOOK PRO 13.3 2019 256GB TOUCH BAR GRAY (MUHP2SA/A),39490000,Intel Core i5,Quad‑core 8th‑gen,8 GB,Intel Iris Plus Graphics 645,1.37 kg,0.0,0,MACBOOK,1
LAPTOP ACER SPIN 3 SP314-51(NX.GUWSV.004),15000000,Intel Core i5,8250U,4 GB,Intel UHD Graphics 620,1.7 kg,0.0,0,ACER,0
MACBOOK PRO 13.3 2019 256GB TOUCH BAR SILVER (MUHR2SA/A),39490000,Intel Core i5,Quad‑core 8th‑gen,8 GB,Intel Iris Plus Graphics 645,1.37 kg,0.0,0,MACBOOK,1
Laptop Dell G3 15 3590 - N5I5518W,24990000,Core i5,9300H,8 GB,NVIDIA,,0.0,0,Dell,1
Laptop Asus X509UA-EJ116T,9990000,Intel Core i3,7020U,4 GB,Intel HD Graphics 520,1.9 kg,0.0,0,Asus,0
LAPTOP ACER SWIFT 5 SF514-53T-58PN (NX.H7HSV.001) XANH,22690000,Intel Core i5,8265U,8 GB,Intel HD Graphics 620,0.97 kg,0.0,0,ACER,1
Laptop HP Pavilion 15-CS3015TU (8QP15PA),15590000,,,4 GB,Intel UHD Graphics,"1,698 kg",0.0,0,HP,1
LAPTOP DELL INSPIRON 14 3476 (8J61P1),9590000,Intel Core i3,8130U,4 GB,Intel HD Graphics 620,1.97 kg,0.0,0,DELL,0
Laptop HP Pavilion 15-CS3011TU (8QN96PA),17190000,Intel Core i5,1035G1,,Intel UHD Graphics,"1,706 kg",0.0,0,HP,0
Laptop Acer A514-52-33AB (NX.HMHSV.001),11690000,Intel Core i3,10110U,4 GB,Intel UHD Graphics 620,1.6 kg,0.0,0,Acer,1
LAPTOP DELL INSPIRON 3480 (N4I5107W) ĐEN,13590000,Intel Core i5,8265U,4 GB,Intel HD Graphics 620,1.66 kg,0.0,0,DELL,0
LAPTOP ASUS A412FJ-EK149T BẠC,17490000,Intel Core i5,8265U,8 GB,GeForce MX230,2.3 kg,0.0,0,ASUS,1
Laptop Asus A512DA-EJ406T,14290000,AMD Ryzen™ 5,3500U,8 GB,AMD Radeon™ Vega 8 Graphics,1.7 kg,0.0,0,Asus,1
LAPTOP HP PROBOOK 440 G6 (5YM61PA),16990000,Intel Core i5,8265U,4 GB,Intel UHD Graphics 620,1.6 kg,0.0,0,HP,1
LAPTOP DELL VOSTRO 3468 (70161069),10990000,Intel Core i3,7020U,4 GB,Intel HD Graphics 620,1.76 kg,0.0,0,DELL,0
Laptop Asus UX434FAC-A6116T,24490000,Core i5,10210U,8 GB,Intel UHD Graphics 620,1.26 kg,0.0,0,Asus,1
Laptop Asus UX434FLC-A6212T,26490000,Core i5,10210U,8 GB,NVIDIA GeForce MX250,1.26 kg,0.0,0,Asus,1
LAPTOP HP 15-DA1022TU (5NK80PA),12990000,Intel Core i5,8265U,4 GB,Intel HD Graphics 620,1.77 kg,0.0,0,HP,0
Laptop MSI PS42 8M-288VN,17990000,Intel Core i5,8250U,8 GB,Intel® UHD Graphics 620,1.18 kg,0.0,0,MSI,1
LAPTOP ASUS S430UA-EB097T,19990000,Intel Core i7,8550U,4 GB,Intel UHD Graphics 620,1.40 kg,0.0,0,ASUS,1
LAPTOP ASUS X407U - BV145T,12000000,Intel Core i5,8250U,4 GB,NVIDIA GeForce MX110,1.52 kg,0.0,0,ASUS,0
Laptop HP Pavilion 15-CS3116TX (9AV24PA),16590000,Intel Core i5,1035G1,4 GB,Intel UHD Graphics,"1,755 kg",0.0,0,HP,1
Laptop Asus UX534FTC-A9168T,30990000,Core i5,10210U,8 GB,NVIDIA GeForce GTX 1650,1.55 kg,0.0,0,Asus,1
Laptop HP Pavilion 15-CS3119TX (9FN16PA),16590000,Intel Core i5,1035G1,4 GB,Intel UHD Graphics,"1,746 kg",0.0,0,HP,1
Laptop HP Pavilion 15-CS3060TX (8RJ61PA),18190000,Intel Core i5,1035G1,8 GB,Intel UHD Graphics,"1,761 kg",0.0,0,HP,1
Laptop HP Pavilion 15-CS3063TX (8RK42PA),21890000,,,8 GB,NVIDIA GeForce MX250,"1,766 kg",0.0,0,HP,1
Laptop Dell Inspiron 15 5584-CXGR01,17390000,Core i5,8265U,8 GB,Intel UHD Graphics 620,2 kg,0.0,0,Dell,0
LAPTOP DELL N3567 P63F002N67S,9590000,Intel Core i3,7020U,4 GB,Intel® UHD Graphics 620,1.9 kg,0.0,0,DELL,0
Laptop HP Pavilion 15-CS3012TU (8QP30PA),17190000,Intel Core i5,1035G1,,Intel UHD Graphics,"1,695 kg",0.0,0,HP,0
Laptop Dell Inspiron 15 5000 5593 N5I5461W,20990000,Core i5,1035G1,8 GB,NVIDIA GeForce MX230 2GB,,0.0,0,Dell,1
